Date,SPY
2000-01-03,91.61703491210938
2000-01-04,88.0342788696289
2000-01-05,88.19175720214844
2000-01-06,86.77437591552734
2000-01-07,91.81388854980469
2000-01-10,92.12889099121094
2000-01-11,91.0264892578125
2000-01-12,90.1209487915039
2000-01-13,91.34146881103516
2000-01-14,92.58162689208984
2000-01-18,91.853271484375
2000-01-19,92.60134887695312
2000-01-20,91.1839599609375
2000-01-21,90.98713684082031
2000-01-24,88.40835571289062
2000-01-25,89.41230773925781
2000-01-26,88.70358276367188
2000-01-27,88.34925842285156
2000-01-28,85.5932388305664
2000-01-31,87.91615295410156
2000-02-01,88.78229522705078
2000-02-02,88.86107635498047
2000-02-03,90.1996841430664
2000-02-04,89.8256607055664
2000-02-07,89.68780517578125
2000-02-08,90.90834045410156
2000-02-09,88.99884033203125
2000-02-10,89.17601776123047
2000-02-11,87.36495971679688
2000-02-14,87.87674713134766
2000-02-15,88.87088012695312
2000-02-16,87.56182861328125
2000-02-17,87.10906219482422
2000-02-18,85.2388916015625
2000-02-22,85.02237701416016
2000-02-23,86.02633666992188
2000-02-24,84.29399871826172
2000-02-25,83.9888687133789
2000-02-28,85.75074005126953
2000-02-29,86.5775146484375
2000-03-01,87.20745849609375
2000-03-02,87.26651763916016
2000-03-03,88.90042877197266
2000-03-06,88.0342788696289
2000-03-07,86.33143615722656
2000-03-08,86.22315216064453
2000-03-09,88.7429428100586
2000-03-10,88.27052307128906
2000-03-13,87.30594635009766
2000-03-14,86.065673828125
2000-03-15,88.07366180419922
2000-03-16,92.18791198730469
2000-03-17,92.7972183227539
2000-03-20,92.32357025146484
2000-03-21,94.21817779541016
2000-03-22,94.7905502319336
2000-03-23,96.40888214111328
2000-03-24,96.98117065429688
2000-03-27,95.95492553710938
2000-03-28,95.40235137939453
2000-03-29,95.50098419189453
2000-03-30,93.90237426757812
2000-03-31,94.96812438964844
2000-04-03,95.52076721191406
2000-04-04,94.81026458740234
2000-04-05,94.21817779541016
2000-04-06,95.03721618652344
2000-04-07,95.63916778564453
