Date,DIA
2000-01-03,64.94981384277344
2000-01-04,62.812862396240234
2000-01-05,63.62649154663086
2000-01-06,63.94841384887695
2000-01-07,66.09425354003906
2000-01-10,66.38044738769531
2000-01-11,65.88867950439453
2000-01-12,66.05848693847656
2000-01-13,66.30888366699219
2000-01-14,67.23880767822266
2000-01-18,66.21944427490234
2000-01-19,66.13004302978516
2000-01-20,65.0839614868164
2000-01-21,64.5989761352539
2000-01-24,62.98847961425781
2000-01-25,63.185302734375
2000-01-26,63.25688552856445
2000-01-27,63.25688552856445
2000-01-28,61.50324249267578
2000-01-31,62.70219421386719
2000-02-01,63.14952087402344
2000-02-02,62.8095588684082
2000-02-03,63.2747688293457
2000-02-04,62.84537887573242
2000-02-07,62.272682189941406
2000-02-08,62.59479904174805
2000-02-09,61.216941833496094
2000-02-10,61.270652770996094
2000-02-11,59.83907699584961
2000-02-14,60.41169357299805
2000-02-15,61.52118682861328
2000-02-16,60.59061050415039
2000-02-17,60.000091552734375
2000-02-18,58.622833251953125
2000-02-22,58.945350646972656
2000-02-23,58.622833251953125
2000-02-24,58.47951126098633
2000-02-25,56.5086784362793
2000-02-28,57.4134521484375
2000-02-29,58.228721618652344
2000-03-01,58.2645149230957
2000-03-02,58.30035400390625
2000-03-03,59.55449295043945
2000-03-06,58.31830978393555
2000-03-07,56.18617630004883
2000-03-08,56.45490264892578
2000-03-09,57.52094650268555
2000-03-10,57.082035064697266
2000-03-13,57.117855072021484
2000-03-14,56.45490264892578
2000-03-15,58.2645149230957
2000-03-16,61.22074508666992
2000-03-17,60.9346809387207
2000-03-20,61.32939147949219
2000-03-21,62.65718460083008
2000-03-22,62.34313201904297
2000-03-23,63.80550003051758
2000-03-24,63.80550003051758
2000-03-27,63.05193328857422
2000-03-28,62.80070877075195
2000-03-29,63.59025955200195
2000-03-30,63.195430755615234
2000-03-31,62.83660125732422
2000-04-03,64.70269775390625
2000-04-04,64.1285400390625
2000-04-05,63.374847412109375
2000-04-06,63.975990295410156
2000-04-07,63.679935455322266
2000-04-10,64.34374237060547
2000-04-11,65.025634765625
2000-04-12,63.455631256103516
2000-04-13,62.60331344604492
2000-04-14,58.86220932006836
2000-04-17,60.86286163330078
2000-04-18,61.47289276123047
2000-04-19,61.32939147949219
2000-04-20,62.486167907714844
2000-04-24,62.54005432128906
2000-04-25,63.92218017578125
2000-04-26,62.61175537109375
2000-04-27,62.252750396728516
2000-04-28,61.78607940673828
2000-05-01,62.10918045043945
2000-05-02,61.49881362915039
2000-05-03,60.20639419555664
2000-05-04,59.919166564941406
2000-05-05,60.79877853393555
2000-05-08,60.8526496887207
2000-05-09,60.529518127441406
2000-05-10,59.344730377197266
2000-05-11,60.74490737915039
2000-05-12,61.03208541870117
2000-05-15,62.154048919677734
2000-05-16,62.791290283203125
2000-05-17,61.89372253417969
2000-05-18,61.71422576904297
2000-05-19,61.30804443359375
2000-05-22,60.714778900146484
2000-05-23,60.08552169799805
2000-05-24,60.66081237792969
2000-05-25,59.54615020751953
2000-05-26,59.33038330078125
2000-05-30,60.66081237792969
2000-05-31,60.5889892578125
2000-06-01,61.27214050292969
2000-06-02,61.856407165527344
2000-06-05,62.27891159057617
2000-06-06,61.92831802368164
2000-06-07,62.3328971862793
2000-06-08,61.43393325805664
2000-06-09,61.13722610473633
2000-06-12,60.8226432800293
2000-06-13,61.27214050292969
2000-06-14,61.703548431396484
2000-06-15,61.46991729736328
2000-06-16,60.163150787353516
2000-06-19,60.78372573852539
2000-06-20,60.297996520996094
2000-06-21,60.405975341796875
2000-06-22,59.86625671386719
2000-06-23,60.118167877197266
2000-06-26,60.999534606933594
2000-06-27,60.657779693603516
2000-06-28,60.657779693603516
2000-06-29,60.010196685791016
2000-06-30,60.08220291137695
2000-07-03,60.999534606933594
2000-07-05,60.44194793701172
2000-07-06,60.49591064453125
2000-07-07,61.20647430419922
2000-07-10,61.30534362792969
2000-07-11,61.73712158203125
2000-07-12,62.06093978881836
2000-07-13,62.16883087158203
2000-07-14,62.312679290771484
2000-07-17,62.16883087158203
2000-07-18,61.953006744384766
2000-07-19,61.70118713378906
2000-07-20,62.79845428466797
2000-07-21,61.68031311035156
2000-07-24,61.57222366333008
2000-07-25,61.55412292480469
2000-07-26,60.8155632019043
2000-07-27,61.12184143066406
2000-07-28,60.527400970458984
2000-07-31,60.527400970458984
2000-08-01,61.10383224487305
2000-08-02,61.68031311035156
2000-08-03,61.64427185058594
2000-08-04,61.968502044677734
2000-08-07,62.6170654296875
2000-08-08,63.21147537231445
2000-08-09,62.905269622802734
2000-08-10,62.959327697753906
2000-08-11,63.60780334472656
2000-08-14,64.40040588378906
2000-08-15,63.950008392333984
2000-08-16,64.02208709716797
2000-08-17,63.89604949951172
2000-08-18,63.73196029663086
2000-08-21,64.12871551513672
2000-08-22,64.37216186523438
2000-08-23,64.34514617919922
2000-08-24,64.65169525146484
2000-08-25,64.7689437866211
2000-08-28,65.03038024902344
2000-08-29,64.94023132324219
2000-08-30,64.14674377441406
2000-08-31,64.90418243408203
2000-09-01,64.94023132324219
2000-09-05,65.12957000732422
2000-09-06,65.31893157958984
2000-09-07,65.08452606201172
2000-09-08,64.6877670288086
2000-09-11,64.7058334350586
2000-09-12,65.15664672851562
2000-09-13,64.66975402832031
2000-09-14,64.1474838256836
2000-09-15,62.98274612426758
2000-09-18,62.549442291259766
2000-09-19,62.386898040771484
2000-09-20,61.79103469848633
2000-09-21,61.39374923706055
2000-09-22,62.838375091552734
2000-09-25,62.459110260009766
2000-09-26,61.33960723876953
