Date,QQQ
2000-01-03,80.0281753540039
2000-01-04,74.53812408447266
2000-01-05,72.63773345947266
2000-01-06,67.64917755126953
2000-01-07,76.01625061035156
2000-01-10,78.1278076171875
2000-01-11,74.32698059082031
2000-01-12,72.69051361083984
2000-01-13,77.07199096679688
2000-01-14,78.86682891845703
2000-01-18,79.28915405273438
2000-01-19,81.08397674560547
2000-01-20,80.29210662841797
2000-01-21,81.29515838623047
2000-01-24,77.38871765136719
2000-01-25,78.55011749267578
2000-01-26,75.38276672363281
2000-01-27,76.49134063720703
2000-01-28,72.63773345947266
2000-01-31,75.75228118896484
2000-02-01,77.78462982177734
2000-02-02,78.44452667236328
2000-02-03,81.50628662109375
2000-02-04,82.0605697631836
2000-02-07,83.1955337524414
2000-02-08,86.67964172363281
2000-02-09,83.61784362792969
2000-02-10,86.36287689208984
2000-02-11,84.3569107055664
2000-02-14,84.25129699707031
2000-02-15,84.85838317871094
2000-02-16,84.4625015258789
2000-02-17,86.25731658935547
2000-02-18,83.1427230834961
2000-02-22,83.40670013427734
2000-02-23,88.05211639404297
2000-02-24,89.95257568359375
2000-02-25,87.89378356933594
2000-02-28,87.84100341796875
2000-02-29,90.16368103027344
2000-03-01,90.90272521972656
2000-03-02,88.79779815673828
2000-03-03,93.80615997314453
2000-03-06,94.545166015625
2000-03-07,93.1198959350586
2000-03-08,93.96449279785156
2000-03-09,97.1318359375
2000-03-10,96.70951843261719
2000-03-13,94.1756591796875
2000-03-14,90.69160461425781
2000-03-15,86.8907470703125
2000-03-16,91.85293579101562
2000-03-17,93.59500122070312
2000-03-20,90.95550537109375
2000-03-21,94.38681030273438
2000-03-22,96.28721618652344
2000-03-23,97.97647857666016
2000-03-24,99.29620361328125
2000-03-27,99.45457458496094
2000-03-28,96.92068481445312
2000-03-29,92.90870666503906
2000-03-30,90.58599090576172
2000-03-31,92.48638916015625
2000-04-03,86.9435806274414
2000-04-04,86.09896087646484
2000-04-05,84.56807708740234
2000-04-06,86.57405853271484
2000-04-07,90.05809020996094
2000-04-10,84.56807708740234
2000-04-11,82.56206512451172
2000-04-12,77.70549774169922
2000-04-13,74.32698059082031
2000-04-14,67.88671875
2000-04-17,75.69952392578125
2000-04-18,77.70549774169922
2000-04-19,75.32998657226562
2000-04-20,73.69349670410156
2000-04-24,71.58191680908203
2000-04-25,76.41216278076172
2000-04-26,73.79908752441406
2000-04-27,77.07199096679688
2000-04-28,80.0281753540039
2000-05-01,80.76726531982422
2000-05-02,76.12181854248047
2000-05-03,75.27716064453125
2000-05-04,75.43556213378906
2000-05-05,77.23038482666016
2000-05-08,74.221435546875
2000-05-09,72.63773345947266
2000-05-10,67.35879516601562
2000-05-11,71.47637939453125
2000-05-12,71.47637939453125
2000-05-15,74.59088897705078
2000-05-16,76.70247650146484
2000-05-17,75.11880493164062
2000-05-18,72.42656707763672
2000-05-19,68.99528503417969
2000-05-22,68.9424819946289
2000-05-23,63.18849563598633
2000-05-24,67.14764404296875
2000-05-25,65.66959381103516
2000-05-26,65.66959381103516
2000-05-30,72.26821899414062
2000-05-31,70.20941162109375
2000-06-01,73.79908752441406
2000-06-02,79.07801055908203
2000-06-05,79.27593231201172
2000-06-06,77.07199096679688
2000-06-07,79.13080596923828
2000-06-08,78.7612533569336
2000-06-09,79.18357849121094
2000-06-12,76.64971160888672
2000-06-13,79.60588836669922
2000-06-14,77.81104278564453
2000-06-15,79.18357849121094
2000-06-16,79.60588836669922
2000-06-19,82.77324676513672
2000-06-20,82.45646667480469
2000-06-21,83.51227569580078
2000-06-22,80.45051574707031
2000-06-23,77.28318786621094
2000-06-26,79.394775390625
2000-06-27,78.44452667236328
2000-06-28,79.394775390625
2000-06-29,77.40192413330078
2000-06-30,78.91959381103516
2000-07-03,80.45051574707031
2000-07-05,77.33597564697266
2000-07-06,79.394775390625
2000-07-07,81.03116607666016
2000-07-10,79.80386352539062
2000-07-11,80.23936462402344
2000-07-12,82.13971710205078
2000-07-13,83.1955337524414
2000-07-14,84.99040222167969
2000-07-17,85.94055938720703
2000-07-18,84.0401840209961
2000-07-19,82.13971710205078
2000-07-20,84.77923583984375
2000-07-21,81.92857360839844
2000-07-24,80.23936462402344
2000-07-25,80.87281799316406
2000-07-26,80.76726531982422
2000-07-27,77.59992218017578
2000-07-28,73.37677001953125
2000-07-31,75.54112243652344
2000-08-01,74.53812408447266
2000-08-02,73.21841430664062
2000-08-03,76.38575744628906
2000-08-04,76.12181854248047
2000-08-07,77.9166488647461
2000-08-08,79.50031280517578
2000-08-09,77.38871765136719
2000-08-10,75.85785675048828
2000-08-11,76.91364288330078
2000-08-14,78.55011749267578
2000-08-15,78.55011749267578
2000-08-16,79.34192657470703
2000-08-17,80.87281799316406
2000-08-18,80.45051574707031
2000-08-21,80.66166687011719
2000-08-22,80.66166687011719
2000-08-23,81.98136138916016
2000-08-24,83.24832916259766
2000-08-25,82.79960632324219
2000-08-28,83.1955337524414
2000-08-29,83.61784362792969
2000-08-30,83.51227569580078
2000-08-31,85.8349838256836
2000-09-01,86.67964172363281
2000-09-05,84.0401840209961
2000-09-06,81.08397674560547
2000-09-07,82.87883758544922
2000-09-08,80.34494018554688
2000-09-11,78.39173889160156
2000-09-12,77.17759704589844
2000-09-13,78.9724349975586
2000-09-14,78.55011749267578
2000-09-15,77.12478637695312
2000-09-18,75.91063690185547
2000-09-19,78.70844268798828
2000-09-20,79.92262268066406
2000-09-21,74.11582946777344
2000-09-22,78.49732971191406
2000-09-25,76.41216278076172
2000-09-26,75.54112243652344
