Date,XLI
2000-01-03,18.125661849975586
2000-01-04,17.624902725219727
2000-01-05,17.546342849731445
2000-01-06,17.781999588012695
2000-01-07,18.459503173828125
2000-01-10,18.459503173828125
2000-01-11,18.22385025024414
2000-01-12,18.007837295532227
2000-01-13,18.35150146484375
2000-01-14,18.22385025024414
2000-01-18,18.204219818115234
2000-01-19,18.145305633544922
2000-01-20,18.027462005615234
2000-01-21,17.801645278930664
2000-01-24,17.291061401367188
2000-01-25,17.1928653717041
2000-01-26,17.330333709716797
2000-01-27,17.428531646728516
2000-01-28,16.96703338623047
2000-01-31,17.084861755371094
2000-02-01,16.96703338623047
2000-02-02,16.976850509643555
2000-02-03,16.96703338623047
2000-02-04,17.0357666015625
2000-02-07,16.741209030151367
2000-02-08,16.809932708740234
2000-02-09,16.633193969726562
2000-02-10,16.34844970703125
2000-02-11,16.00478744506836
2000-02-14,16.26007652282715
2000-02-15,16.544824600219727
2000-02-16,16.50554656982422
2000-02-17,16.574281692504883
2000-02-18,16.210983276367188
2000-02-22,16.47609519958496
2000-02-23,16.34844970703125
2000-02-24,16.201169967651367
2000-02-25,15.916419982910156
2000-02-28,15.965517044067383
2000-02-29,16.142250061035156
2000-03-01,16.05388069152832
2000-03-02,16.112791061401367
2000-03-03,16.554643630981445
2000-03-06,16.485904693603516
2000-03-07,15.828044891357422
2000-03-08,15.994966506958008
2000-03-09,16.161884307861328
2000-03-10,16.201169967651367
2000-03-13,15.955695152282715
2000-03-14,15.867321014404297
2000-03-15,16.50554656982422
2000-03-16,17.39906120300293
2000-03-17,17.375917434692383
2000-03-20,17.474315643310547
2000-03-21,17.848201751708984
2000-03-22,17.769489288330078
2000-03-23,18.182729721069336
2000-03-24,18.29096794128418
2000-03-27,18.064661026000977
2000-03-28,18.015472412109375
2000-03-29,18.24176788330078
2000-03-30,18.359840393066406
2000-03-31,18.389358520507812
2000-04-03,18.46806526184082
2000-04-04,18.26145362854004
2000-04-05,18.19257164001465
2000-04-06,18.34999656677246
2000-04-07,18.625490188598633
2000-04-10,18.655010223388672
2000-04-11,18.881309509277344
2000-04-12,18.546781539916992
2000-04-13,18.595977783203125
2000-04-14,17.375917434692383
2000-04-17,17.799007415771484
2000-04-18,17.86787986755371
2000-04-19,17.93675994873047
2000-04-20,18.084352493286133
2000-04-24,18.104026794433594
2000-04-25,19.048585891723633
2000-04-26,18.763246536254883
2000-04-27,18.782928466796875
2000-04-28,18.655010223388672
2000-05-01,19.087932586669922
2000-05-02,18.891149520874023
2000-05-03,18.26145362854004
2000-05-04,18.29096794128418
2000-05-05,18.615659713745117
2000-05-08,18.605812072753906
2000-05-09,18.458229064941406
2000-05-10,18.271289825439453
2000-05-11,18.72388458251953
2000-05-12,18.950180053710938
2000-05-15,19.26503562927246
2000-05-16,19.44214630126953
2000-05-17,19.31424331665039
2000-05-18,19.225683212280273
2000-05-19,18.69436264038086
2000-05-22,18.36968231201172
2000-05-23,18.29096794128418
2000-05-24,18.556617736816406
2000-05-25,18.222095489501953
2000-05-26,18.123693466186523
2000-05-30,18.44839096069336
2000-05-31,18.5762996673584
2000-06-01,18.72388458251953
2000-06-02,18.861631393432617
2000-06-05,18.832122802734375
2000-06-06,18.69436264038086
2000-06-07,18.605812072753906
2000-06-08,18.310640335083008
2000-06-09,18.37952423095703
2000-06-12,18.399200439453125
2000-06-13,18.4779052734375
2000-06-14,18.43855857849121
2000-06-15,18.615659713745117
2000-06-16,18.289344787597656
2000-06-19,18.102012634277344
2000-06-20,17.540021896362305
2000-06-21,17.609045028686523
2000-06-22,17.22452735900879
2000-06-23,17.411848068237305
2000-06-26,17.82594871520996
2000-06-27,17.90482521057129
2000-06-28,18.13159942626953
2000-06-29,17.81609344482422
2000-06-30,17.845674514770508
2000-07-03,18.08230209350586
2000-07-05,17.924545288085938
2000-07-06,17.875247955322266
2000-07-07,17.963977813720703
2000-07-10,17.983705520629883
2000-07-11,18.328784942626953
2000-07-12,18.397802352905273
2000-07-13,18.545703887939453
2000-07-14,18.733020782470703
2000-07-17,18.841482162475586
2000-07-18,18.89077377319336
2000-07-19,18.733020782470703
2000-07-20,18.959793090820312
2000-07-21,18.930212020874023
2000-07-24,18.792179107666016
2000-07-25,18.83161735534668
2000-07-26,18.594999313354492
2000-07-27,18.466819763183594
2000-07-28,17.845674514770508
2000-07-31,18.121734619140625
2000-08-01,18.2597713470459
2000-08-02,18.180891036987305
2000-08-03,18.210472106933594
2000-08-04,18.437232971191406
2000-08-07,18.979509353637695
2000-08-08,19.147119522094727
2000-08-09,19.314729690551758
2000-08-10,19.26543617248535
2000-08-11,19.48233985900879
2000-08-14,19.67953872680664
2000-08-15,19.43305015563965
2000-08-16,19.34430694580078
2000-08-17,19.442907333374023
2000-08-18,19.38374900817871
2000-08-21,19.659809112548828
2000-08-22,19.620378494262695
2000-08-23,19.521780014038086
2000-08-24,19.728837966918945
2000-08-25,19.817569732666016
2000-08-28,20.083778381347656
2000-08-29,19.95560646057129
2000-08-30,19.768274307250977
2000-08-31,19.916156768798828
2000-09-01,20.09363555908203
2000-09-05,20.09363555908203
2000-09-06,20.192224502563477
2000-09-07,20.07391357421875
2000-09-08,19.837291717529297
2000-09-11,19.738697052001953
2000-09-12,19.67953872680664
2000-09-13,19.738697052001953
2000-09-14,19.718978881835938
2000-09-15,19.2191104888916
2000-09-18,19.001617431640625
2000-09-19,18.78411293029785
2000-09-20,18.882986068725586
2000-09-21,18.942298889160156
2000-09-22,18.80389404296875
2000-09-25,19.35752296447754
2000-09-26,19.37729835510254
