Date,XLV
2000-01-03,20.524776458740234
2000-01-04,20.05902862548828
2000-01-05,19.879085540771484
2000-01-06,19.942590713500977
2000-01-07,20.186044692993164
2000-01-10,22.250173568725586
2000-01-11,21.657392501831055
2000-01-12,21.29749870300293
2000-01-13,21.9326114654541
2000-01-14,21.74207878112793
2000-01-18,21.33984375
2000-01-19,21.847929000854492
2000-01-20,21.678564071655273
2000-01-21,21.636226654052734
2000-01-24,20.990528106689453
2000-01-25,21.138717651367188
2000-01-26,21.043445587158203
2000-01-27,20.91642189025879
2000-01-28,20.49301528930664
2000-01-31,20.39775276184082
2000-02-01,20.662384033203125
2000-02-02,21.170473098754883
2000-02-03,21.36101722717285
2000-02-04,21.435102462768555
2000-02-07,21.08579444885254
2000-02-08,21.31867027282715
2000-02-09,20.937599182128906
2000-02-10,20.75765037536621
2000-02-11,20.76824188232422
2000-02-14,20.387170791625977
2000-02-15,20.228391647338867
2000-02-16,19.656776428222656
2000-02-17,19.64620018005371
2000-02-18,19.106351852416992
2000-02-22,18.9687442779541
2000-02-23,19.265134811401367
2000-02-24,19.116939544677734
2000-02-25,18.5241641998291
2000-02-28,18.8523006439209
2000-02-29,19.064014434814453
2000-03-01,19.222793579101562
2000-03-02,19.138107299804688
2000-03-03,19.40274429321289
2000-03-06,19.02167510986328
2000-03-07,18.672361373901367
2000-03-08,18.57709503173828
2000-03-09,19.011089324951172
2000-03-10,18.8523006439209
2000-03-13,18.71470069885254
2000-03-14,18.767623901367188
2000-03-15,18.862895965576172
2000-03-16,19.836732864379883
2000-03-17,19.857906341552734
2000-03-20,20.23897933959961
2000-03-21,20.365995407104492
2000-03-22,20.884681701660156
2000-03-23,20.969356536865234
2000-03-24,21.149303436279297
2000-03-27,21.00111198425293
2000-03-28,21.022281646728516
2000-03-29,20.704727172851562
2000-03-30,20.408342361450195
2000-03-31,20.7788143157959
2000-04-03,20.76824188232422
2000-04-04,20.535367965698242
2000-04-05,20.39775276184082
2000-04-06,20.789411544799805
2000-04-07,20.842330932617188
2000-04-10,20.704727172851562
2000-04-11,20.884681701660156
2000-04-12,20.50360679626465
2000-04-13,19.984926223754883
2000-04-14,18.778213500976562
2000-04-17,18.93699836730957
2000-04-18,19.45566177368164
2000-04-19,19.963760375976562
2000-04-20,20.048444747924805
2000-04-24,19.762636184692383
2000-04-25,20.26014518737793
2000-04-26,20.47185516357422
2000-04-27,20.34482765197754
2000-04-28,20.535367965698242
2000-05-01,20.5988712310791
2000-05-02,20.186044692993164
2000-05-03,19.625030517578125
2000-05-04,19.561525344848633
2000-05-05,19.540346145629883
2000-05-08,19.58268928527832
2000-05-09,19.445079803466797
2000-05-10,19.413326263427734
2000-05-11,19.392160415649414
2000-05-12,19.73087501525879
2000-05-15,20.05902862548828
2000-05-16,20.323652267456055
2000-05-17,20.09078025817871
2000-05-18,20.069612503051758
2000-05-19,19.540346145629883
2000-05-22,19.318056106567383
2000-05-23,19.159278869628906
2000-05-24,19.286314010620117
2000-05-25,19.138107299804688
2000-05-26,18.989917755126953
2000-05-30,19.773221969604492
2000-05-31,19.984926223754883
2000-06-01,19.857906341552734
2000-06-02,20.34482765197754
2000-06-05,20.281309127807617
2000-06-06,20.111942291259766
2000-06-07,20.05902862548828
2000-06-08,19.900243759155273
2000-06-09,20.19662857055664
2000-06-12,20.006099700927734
2000-06-13,19.73087501525879
2000-06-14,20.069612503051758
2000-06-15,20.641212463378906
2000-06-16,20.408342361450195
2000-06-19,20.535367965698242
2000-06-20,20.50360679626465
2000-06-21,20.408342361450195
2000-06-22,20.365995407104492
2000-06-23,19.984926223754883
2000-06-26,19.79439926147461
2000-06-27,19.75204849243164
2000-06-28,19.66736602783203
2000-06-29,19.963760375976562
2000-06-30,20.027263641357422
2000-07-03,19.984926223754883
2000-07-05,20.111942291259766
2000-07-06,20.069612503051758
2000-07-07,20.23897933959961
2000-07-10,20.069612503051758
2000-07-11,19.847328186035156
2000-07-12,20.217803955078125
2000-07-13,20.281309127807617
2000-07-14,20.5988712310791
2000-07-17,20.34482765197754
2000-07-18,20.027263641357422
2000-07-19,20.154294967651367
2000-07-20,20.47185516357422
2000-07-21,19.963760375976562
2000-07-24,19.773221969604492
2000-07-25,19.783802032470703
2000-07-26,19.625030517578125
2000-07-27,19.75204849243164
2000-07-28,19.540346145629883
2000-07-31,19.73087501525879
2000-08-01,19.900243759155273
2000-08-02,19.984926223754883
2000-08-03,20.09078025817871
2000-08-04,20.50360679626465
2000-08-07,20.34482765197754
2000-08-08,20.408342361450195
2000-08-09,20.217803955078125
2000-08-10,20.26014518737793
2000-08-11,20.387170791625977
2000-08-14,20.620037078857422
2000-08-15,20.514196395874023
2000-08-16,20.217803955078125
2000-08-17,20.408342361450195
2000-08-18,20.408342361450195
2000-08-21,20.47185516357422
2000-08-22,20.217803955078125
2000-08-23,20.23897933959961
2000-08-24,20.186044692993164
2000-08-25,20.524776458740234
2000-08-28,20.323652267456055
2000-08-29,20.41892433166504
2000-08-30,20.55652618408203
2000-08-31,20.42951011657715
2000-09-01,20.408342361450195
2000-09-05,20.006099700927734
2000-09-06,19.921419143676758
2000-09-07,19.762636184692383
2000-09-08,19.773221969604492
2000-09-11,19.847328186035156
2000-09-12,19.836732864379883
2000-09-13,20.048444747924805
2000-09-14,19.836732864379883
2000-09-15,19.75204849243164
2000-09-18,19.720300674438477
2000-09-19,19.59326934814453
2000-09-20,19.212203979492188
2000-09-21,19.392160415649414
2000-09-22,19.222793579101562
2000-09-25,19.50859260559082
2000-09-26,19.50859260559082
