Date,XLE
2000-01-03,6.699404716491699
2000-01-04,6.57329797744751
2000-01-05,6.746694087982178
2000-01-06,7.006790637969971
2000-01-07,7.081665515899658
2000-01-10,7.022553443908691
2000-01-11,7.030430793762207
2000-01-12,6.998912811279297
2000-01-13,7.1210761070251465
2000-01-14,7.077722549438477
2000-01-18,7.164423942565918
2000-01-19,7.140779972076416
2000-01-20,7.140779972076416
2000-01-21,7.3378190994262695
2000-01-24,7.077722549438477
2000-01-25,7.0619611740112305
2000-01-26,6.951619625091553
2000-01-27,6.809748649597168
2000-01-28,6.730931282043457
2000-01-31,6.8885650634765625
2000-02-01,6.872801303863525
2000-02-02,6.916149139404297
2000-02-03,6.8333940505981445
2000-02-04,6.636351108551025
2000-02-07,6.711226463317871
2000-02-08,6.65211296081543
2000-02-09,6.431427001953125
2000-02-10,6.565412998199463
2000-02-11,6.486600875854492
2000-02-14,6.589062213897705
2000-02-15,6.864917278289795
2000-02-16,6.896444797515869
2000-02-17,6.8885650634765625
2000-02-18,6.687582015991211
2000-02-22,6.628469944000244
2000-02-23,6.455074310302734
2000-02-24,6.384139060974121
2000-02-25,6.258032321929932
2000-02-28,6.447189807891846
2000-02-29,6.596944332122803
2000-03-01,6.762460231781006
2000-03-02,6.8885650634765625
2000-03-03,6.778221607208252
2000-03-06,6.738814353942871
2000-03-07,7.203831672668457
2000-03-08,7.085606575012207
2000-03-09,7.093486309051514
2000-03-10,6.998912811279297
2000-03-13,6.896444797515869
2000-03-14,6.9831414222717285
2000-03-15,6.951619625091553
2000-03-16,7.251120090484619
2000-03-17,7.030261993408203
2000-03-20,6.919551372528076
2000-03-21,7.14097785949707
2000-03-22,7.08561897277832
2000-03-23,7.077711582183838
2000-03-24,7.093526363372803
2000-03-27,7.117251873016357
2000-03-28,7.08561897277832
2000-03-29,7.457299709320068
2000-03-30,7.457299709320068
2000-03-31,7.417759895324707
2000-04-03,7.544286251068115
2000-04-04,7.449390411376953
2000-04-05,7.227964401245117
2000-04-06,7.417759895324707
2000-04-07,7.3030924797058105
2000-04-10,7.196335315704346
2000-04-11,7.322861671447754
2000-04-12,7.386127471923828
2000-04-13,7.370312213897705
2000-04-14,7.2121477127075195
2000-04-17,7.038169860839844
2000-04-18,7.073755264282227
2000-04-19,7.227964401245117
2000-04-20,7.239828109741211
2000-04-24,7.318908214569092
2000-04-25,7.330772876739502
2000-04-26,7.425668716430664
2000-04-27,7.528470993041992
2000-04-28,7.307044506072998
2000-05-01,7.425668716430664
2000-05-02,7.532426834106445
2000-05-03,7.338681221008301
2000-05-04,7.528470993041992
2000-05-05,7.607553482055664
2000-05-08,7.702448844909668
2000-05-09,7.7064032554626465
2000-05-10,7.730124473571777
2000-05-11,7.971323490142822
2000-05-12,7.9990057945251465
2000-05-15,8.165070533752441
2000-05-16,8.006911277770996
2000-05-17,8.046448707580566
2000-05-18,8.034588813781738
2000-05-19,8.05040454864502
2000-05-22,7.983185291290283
2000-05-23,7.951553821563721
2000-05-24,7.95945930480957
2000-05-25,7.813163757324219
2000-05-26,7.817117691040039
2000-05-30,7.92782735824585
2000-05-31,8.165070533752441
2000-06-01,8.08994197845459
2000-06-02,7.813163757324219
2000-06-05,7.702448844909668
2000-06-06,8.002957344055176
2000-06-07,7.900149345397949
2000-06-08,7.939694404602051
2000-06-09,7.888291358947754
2000-06-12,8.066218376159668
2000-06-13,8.066218376159668
2000-06-14,8.05435848236084
2000-06-15,7.939694404602051
2000-06-16,8.073446273803711
2000-06-19,8.005901336669922
2000-06-20,7.962198734283447
2000-06-21,8.10522747039795
2000-06-22,7.890680313110352
2000-06-23,7.990007400512695
2000-06-26,7.926435947418213
2000-06-27,7.870814323425293
2000-06-28,7.803267478942871
2000-06-29,7.819164276123047
2000-06-30,7.715862274169922
2000-07-03,7.763537883758545
2000-07-05,7.441712856292725
2000-07-06,7.517201900482178
2000-07-07,7.55296516418457
2000-07-10,7.588718414306641
2000-07-11,7.858888626098633
2000-07-12,7.755589485168457
2000-07-13,7.636396884918213
2000-07-14,7.628448486328125
2000-07-17,7.529120922088623
2000-07-18,7.5966644287109375
2000-07-19,7.576803207397461
2000-07-20,7.501307010650635
2000-07-21,7.358275890350342
2000-07-24,7.282790184020996
2000-07-25,7.215240955352783
2000-07-26,7.274838924407959
2000-07-27,7.525146961212158
2000-07-28,7.4695234298706055
2000-07-31,7.421846866607666
2000-08-01,7.560906887054443
2000-08-02,7.703938961029053
2000-08-03,7.5966644287109375
2000-08-04,7.628448486328125
2000-08-07,7.727779388427734
2000-08-08,7.743673801422119
2000-08-09,7.882735729217529
2000-08-10,7.954244613647461
2000-08-11,7.94630241394043
2000-08-14,8.057550430297852
2000-08-15,8.02576732635498
2000-08-16,8.137015342712402
2000-08-17,8.327725410461426
2000-08-18,8.232369422912598
2000-08-21,8.264154434204102
2000-08-22,8.240312576293945
2000-08-23,8.454865455627441
2000-08-24,8.272099494934082
2000-08-25,8.295940399169922
2000-08-28,8.327725410461426
2000-08-29,8.335671424865723
2000-08-30,8.264154434204102
2000-08-31,8.232369422912598
2000-09-01,8.315804481506348
2000-09-05,8.315804481506348
2000-09-06,8.498564720153809
2000-09-07,8.458840370178223
2000-09-08,8.35951042175293
2000-09-11,8.625711441040039
2000-09-12,8.613790512084961
2000-09-13,8.470758438110352
2000-09-14,8.446919441223145
2000-09-15,8.6669921875
2000-09-18,8.68295669555664
2000-09-19,8.45151424407959
2000-09-20,8.28392219543457
2000-09-21,8.220076560974121
2000-09-22,8.168204307556152
2000-09-25,8.044503211975098
