Date,XLK
2000-01-03,20.652040481567383
2000-01-04,19.604291915893555
2000-01-05,19.313251495361328
2000-01-06,18.672977447509766
2000-01-07,18.99893569946289
2000-01-10,19.72071075439453
2000-01-11,19.161922454833984
2000-01-12,19.08042335510254
2000-01-13,19.255043029785156
2000-01-14,19.697423934936523
2000-01-18,19.802207946777344
2000-01-19,19.837125778198242
2000-01-20,19.95354461669922
2000-01-21,19.976821899414062
2000-01-24,19.324905395507812
2000-01-25,19.73818016052246
2000-01-26,19.09207534790039
2000-01-27,18.905805587768555
2000-01-28,18.230592727661133
2000-01-31,18.83595848083496
2000-02-01,19.231765747070312
2000-02-02,19.3714656829834
2000-02-03,19.93025016784668
2000-02-04,20.163095474243164
2000-02-07,20.395915985107422
2000-02-08,20.582183837890625
2000-02-09,20.32607650756836
2000-02-10,20.809192657470703
2000-02-11,20.25621795654297
2000-02-14,20.26786231994629
2000-02-15,20.32607650756836
2000-02-16,20.22129249572754
2000-02-17,20.675315856933594
2000-02-18,19.976821899414062
2000-02-22,19.93025016784668
2000-02-23,20.535619735717773
2000-02-24,20.79172706604004
2000-02-25,20.59382438659668
2000-02-28,20.349355697631836
2000-02-29,20.81501579284668
2000-03-01,21.024559020996094
2000-03-02,21.234113693237305
2000-03-03,21.822010040283203
2000-03-06,21.787076950073242
2000-03-07,21.187536239624023
2000-03-08,21.56007194519043
2000-03-09,22.211997985839844
2000-03-10,22.25855255126953
2000-03-13,21.932600021362305
2000-03-14,21.432008743286133
2000-03-15,21.059480667114258
2000-03-16,21.79290199279785
2000-03-17,22.305130004882812
2000-03-20,22.211997985839844
2000-03-21,22.7940616607666
2000-03-22,23.18988609313965
2000-03-23,23.632259368896484
2000-03-24,23.83597755432129
2000-03-27,24.028066635131836
2000-03-28,23.445999145507812
2000-03-29,22.759145736694336
2000-03-30,22.14215087890625
2000-03-31,22.56124496459961
2000-04-03,21.606632232666016
2000-04-04,21.397083282470703
2000-04-05,21.53679084777832
2000-04-06,21.816184997558594
2000-04-07,22.56124496459961
2000-04-10,21.7463321685791
2000-04-11,21.21082878112793
2000-04-12,19.837125778198242
2000-04-13,19.458768844604492
2000-04-14,18.44014549255371
2000-04-17,19.441314697265625
2000-04-18,20.547256469726562
2000-04-19,19.872045516967773
2000-04-20,19.697423934936523
2000-04-24,19.09207534790039
2000-04-25,20.19801902770996
2000-04-26,19.813840866088867
2000-04-27,20.430831909179688
2000-04-28,20.48905372619629
2000-05-01,20.78008460998535
2000-05-02,20.395915985107422
2000-05-03,19.511167526245117
2000-05-04,19.3714656829834
2000-05-05,19.90114974975586
2000-05-08,19.196842193603516
2000-05-09,18.84177589416504
2000-05-10,17.92792320251465
2000-05-11,18.4343204498291
2000-05-12,18.672977447509766
2000-05-15,19.02222442626953
2000-05-16,19.592660903930664
2000-05-17,19.313251495361328
2000-05-18,18.824310302734375
2000-05-19,18.09090232849121
2000-05-22,18.0094051361084
2000-05-23,17.136302947998047
2000-05-24,17.81150245666504
2000-05-25,17.520469665527344
2000-05-26,17.57868194580078
2000-05-30,18.71954345703125
2000-05-31,18.358652114868164
2000-06-01,19.18520164489746
2000-06-02,20.058311462402344
2000-06-05,20.11651611328125
2000-06-06,19.837125778198242
2000-06-07,20.20965576171875
2000-06-08,20.11651611328125
2000-06-09,20.163095474243164
2000-06-12,19.743995666503906
2000-06-13,20.163095474243164
2000-06-14,19.790565490722656
2000-06-15,20.186378479003906
2000-06-16,20.25621795654297
2000-06-19,20.89651107788086
2000-06-20,20.954708099365234
2000-06-21,21.140974044799805
2000-06-22,20.48905372619629
2000-06-23,20.052492141723633
2000-06-26,20.186378479003906
2000-06-27,19.988468170166016
2000-06-28,20.186378479003906
2000-06-29,19.790565490722656
2000-06-30,20.186378479003906
2000-07-03,20.32607650756836
2000-07-05,19.674144744873047
2000-07-06,19.976821899414062
2000-07-07,20.30279541015625
2000-07-10,20.08159828186035
2000-07-11,19.918617248535156
2000-07-12,20.430831909179688
2000-07-13,20.826656341552734
2000-07-14,21.21082878112793
2000-07-17,21.385456085205078
2000-07-18,20.954708099365234
2000-07-19,20.48905372619629
2000-07-20,20.919782638549805
2000-07-21,20.465763092041016
2000-07-24,19.965181350708008
2000-07-25,20.30279541015625
2000-07-26,20.0350341796875
2000-07-27,19.452951431274414
2000-07-28,18.731182098388672
2000-07-31,19.115354537963867
2000-08-01,18.8941650390625
2000-08-02,18.812673568725586
2000-08-03,19.173559188842773
2000-08-04,19.173559188842773
2000-08-07,19.569372177124023
2000-08-08,19.604291915893555
2000-08-09,19.674144744873047
2000-08-10,19.255043029785156
2000-08-11,19.324905395507812
2000-08-14,19.72071075439453
2000-08-15,19.767274856567383
2000-08-16,19.790565490722656
2000-08-17,20.163095474243164
2000-08-18,20.186378479003906
2000-08-21,20.27950668334961
2000-08-22,20.27950668334961
2000-08-23,20.477399826049805
2000-08-24,20.669490814208984
2000-08-25,20.59964942932129
2000-08-28,20.768442153930664
2000-08-29,20.79172706604004
2000-08-30,20.652040481567383
2000-08-31,21.059480667114258
2000-09-01,21.071125030517578
2000-09-05,20.59382438659668
2000-09-06,20.06995391845703
2000-09-07,20.395915985107422
2000-09-08,19.743995666503906
2000-09-11,19.231765747070312
2000-09-12,18.952373504638672
2000-09-13,19.138629913330078
2000-09-14,19.2434139251709
2000-09-15,18.91162872314453
2000-09-18,18.486709594726562
2000-09-19,19.208486557006836
2000-09-20,19.278337478637695
2000-09-21,18.882526397705078
2000-09-22,18.347009658813477
2000-09-25,17.96284294128418
2000-09-26,17.584489822387695
