Date,XLF
2000-01-03,11.147915840148926
2000-01-04,10.660575866699219
2000-01-05,10.576810836791992
2000-01-06,11.041309356689453
2000-01-07,11.2240629196167
2000-01-10,11.026080131530762
2000-01-11,10.843328475952148
2000-01-12,11.056541442871094
2000-01-13,11.391586303710938
2000-01-14,11.658101081848145
2000-01-18,11.269747734069824
2000-01-19,11.23167610168457
2000-01-20,11.026080131530762
2000-01-21,10.889017105102539
2000-01-24,10.691032409667969
2000-01-25,10.805255889892578
2000-01-26,11.208829879760742
2000-01-27,11.330669403076172
2000-01-28,10.934700965881348
2000-01-31,11.239288330078125
2000-02-01,11.300209999084473
2000-02-02,11.185991287231445
2000-02-03,11.117454528808594
2000-02-04,11.003235816955566
2000-02-07,10.889017105102539
2000-02-08,11.010848999023438
2000-02-09,10.75195026397705
2000-02-10,10.454978942871094
2000-02-11,10.477824211120605
2000-02-14,10.56920051574707
2000-02-15,10.584426879882812
2000-02-16,10.36359977722168
2000-02-17,10.234145164489746
2000-02-18,9.868646621704102
2000-02-22,9.960017204284668
2000-02-23,9.921948432922363
2000-02-24,9.716352462768555
2000-02-25,9.655436515808105
2000-02-28,9.967634201049805
2000-02-29,10.036170959472656
2000-03-01,10.173235893249512
2000-03-02,10.112313270568848
2000-03-03,10.203693389892578
2000-03-06,10.104701042175293
2000-03-07,9.800113677978516
2000-03-08,9.685893058776855
2000-03-09,9.739195823669434
2000-03-10,9.769651412963867
2000-03-13,9.868646621704102
2000-03-14,9.83057975769043
2000-03-15,10.432135581970215
2000-03-16,11.330669403076172
2000-03-17,11.334027290344238
2000-03-20,11.120033264160156
2000-03-21,11.52509593963623
2000-03-22,11.624457359313965
2000-03-23,12.029515266418457
2000-03-24,12.167074203491211
2000-03-27,11.769657135009766
2000-03-28,11.861370086669922
2000-03-29,11.769657135009766
2000-03-30,11.792587280273438
2000-03-31,11.86900806427002
2000-04-03,12.442219734191895
2000-04-04,11.945446014404297
2000-04-05,11.85373592376709
2000-04-06,11.983652114868164
2000-04-07,11.739089965820312
2000-04-10,12.075366020202637
2000-04-11,12.228212356567383
2000-04-12,12.281718254089355
2000-04-13,11.960724830627441
2000-04-14,10.990113258361816
2000-04-17,11.081823348999023
2000-04-18,11.52509593963623
2000-04-19,11.372241973876953
2000-04-20,11.586240768432617
2000-04-24,11.861370086669922
2000-04-25,12.228212356567383
2000-04-26,11.983652114868164
2000-04-27,11.739089965820312
2000-04-28,11.983652114868164
2000-05-01,11.71615982055664
2000-05-02,11.601523399353027
2000-05-03,11.395172119140625
2000-05-04,11.219390869140625
2000-05-05,11.295815467834473
2000-05-08,11.5174560546875
2000-05-09,11.486883163452148
2000-05-10,11.181178092956543
2000-05-11,11.5174560546875
2000-05-12,11.64737606048584
2000-05-15,12.167074203491211
2000-05-16,12.098292350769043
2000-05-17,11.891940116882324
2000-05-18,12.0447998046875
2000-05-19,11.830799102783203
2000-05-22,11.983652114868164
2000-05-23,12.060076713562012
2000-05-24,12.212930679321289
2000-05-25,11.907228469848633
2000-05-26,11.861370086669922
2000-05-30,12.105937957763672
2000-05-31,12.25114917755127
2000-06-01,12.656208038330078
2000-06-02,13.175902366638184
2000-06-05,12.877840995788574
2000-06-06,12.595059394836426
2000-06-07,12.778488159179688
2000-06-08,12.564494132995605
2000-06-09,12.350497245788574
2000-06-12,12.45749282836914
2000-06-13,12.442219734191895
2000-06-14,12.656208038330078
2000-06-15,12.358139038085938
2000-06-16,11.779650688171387
2000-06-19,12.086417198181152
2000-06-20,11.93303108215332
2000-06-21,11.84100341796875
2000-06-22,11.833331108093262
2000-06-23,11.748982429504395
2000-06-26,11.93303108215332
2000-06-27,12.048067092895508
2000-06-28,11.956040382385254
2000-06-29,11.94837474822998
2000-06-30,11.656946182250977
2000-07-03,11.87168025970459
2000-07-05,12.00205135345459
2000-07-06,12.094080924987793
2000-07-07,12.301149368286133
2000-07-10,12.331827163696289
2000-07-11,12.393172264099121
2000-07-12,12.569561004638672
2000-07-13,12.446858406066895
2000-07-14,12.653928756713867
2000-07-17,12.416186332702637
2000-07-18,12.439187049865723
2000-07-19,12.393172264099121
2000-07-20,12.707598686218262
2000-07-21,12.669262886047363
2000-07-24,12.74594783782959
2000-07-25,12.768965721130371
2000-07-26,12.707598686218262
2000-07-27,12.74594783782959
2000-07-28,12.469865798950195
2000-07-31,12.684597969055176
2000-08-01,12.768965721130371
2000-08-02,12.753622055053711
2000-08-03,13.091060638427734
2000-08-04,13.597210884094238
2000-08-07,13.635563850402832
2000-08-08,13.635563850402832
2000-08-09,13.543534278869629
2000-08-10,13.46684741973877
2000-08-11,13.673903465270996
2000-08-14,13.850296974182129
2000-08-15,13.597210884094238
2000-08-16,13.43617057800293
2000-08-17,13.612553596496582
2000-08-18,13.512857437133789
2000-08-21,13.620223045349121
2000-08-22,13.765934944152832
2000-08-23,13.589547157287598
2000-08-24,13.566543579101562
2000-08-25,13.38248062133789
2000-08-28,13.635563850402832
2000-08-29,13.497515678405762
2000-08-30,13.620223045349121
2000-08-31,13.972990036010742
2000-09-01,13.742926597595215
2000-09-05,13.911641120910645
2000-09-06,14.019018173217773
2000-09-07,13.90398120880127
2000-09-08,14.218403816223145
2000-09-11,14.502171516418457
2000-09-12,14.479150772094727
2000-09-13,14.387123107910156
2000-09-14,14.33344841003418
2000-09-15,14.09984302520752
2000-09-18,13.630623817443848
2000-09-19,13.922927856445312
2000-09-20,13.722922325134277
2000-09-21,13.569085121154785
2000-09-22,13.830626487731934
2000-09-25,14.05368709564209
2000-09-26,13.961389541625977
